ind_fcode,name,parent
ipcare,Personal Care Products/Appliances,icnp
i258,Cosmetics/Toiletries,ipcare
ihair,Hair Care Products,i258
ihygn,Hygiene Products,i258
icosm,Make-up Products,i258
i2582,Oral Care Products,i258
i2583,Skin Care Products,i258
ibody,Body Care Products,i2583
iface,Facial Care Products,i2583
isun,Sun Care Products,i258
iprscp,Personal Care Accessories,ipcare
iprsca,Personal Care Appliances,ipcare
i429,Tobacco Products,icnp
i4291,Cigarettes,i429
i374,Watches/Clocks/Parts,icnp
i1,Energy,indroot
ialtful,Alternative Fuels,i1
ibioful,Biofuels,ialtful
ifuelcl,Fuel Cells,ialtful
i13,Crude Oil/Natural Gas Upstream Operations,i1
iioil,Integrated Oil/Gas,i13
i1300004,Liquefied/Compressed Gas,i13
iexplo,Natural Gas/Oil Exploration,i13
i1300013,Natural Gas Exploration,iexplo
i1300002,Oil Exploration,iexplo
iextra,Natural Gas/Oil Extraction,i13
i1300003,Crude Petroleum Extraction,iextra
i1300014,Natural Gas Extraction,iextra
iuod,Oil Sands/Shale,i13
i1300005,Support Activities for Oil/Gas,i13
i14,Downstream Operations,i1
i14002,Asphalt/Tar Products,i14
i12,Coke Products,i14
i14001,Petroleum Refining,i14
i16101,Electric Power Generation,i1
i1610108,Fossil Fuel Power Generation,i16101
i1610109,Nuclear Power Generation,i16101
i163,Renewable Energy Generation,i16101
ibmass,Biomass Heat/Electricity Generation,i163
igeothe,Geothermal Energy,i163
i1610107,Hydropower Energy,i163
isolar,Solar Energy,i163
iwteg,Waste-to-Energy Generation,i163
iwind,Wind Energy,i163
intgpc,Natural Gas Processing,i1
i15,Nuclear Fuel,i1
imidstr,Oil/Natural Gas Midstream Operations,i1
i1300006,Pipeline Transportation,imidstr
ifinal,Financial Services,indroot
ibnk,Banking/Credit,ifinal
i814,Banking,ibnk
i81401,Central Banking,i814
i81402,Commercial Banking,i814
ichalbk,Challenger Banks,i81402
i8150106,Development Banking,i814
iibnk,Integrated Banks,i814
i83101,Investment Banking,i814
iislam,Islamic Banking,i814
imicro,Microfinance,i814
i8150103,Mortgages/Real Estate Credit,i814
i81404,Online/Direct Banking,i814
iwealth,Private Banking/Wealth Management,i814
irbank,Regional Banks,i814
i81403,Savings Institutions,i814
i81501,Credit Types/Services,ibnk
iabls,Asset Based Lending Services,i81501
i816,Clearing House/Reserve Activities,i81501
i8150105,Consumer Lending,i81501
ipayd,Payday Loans,i8150105
i8150108,Credit Cards,i81501
i8150102,Credit Unions,i81501
i8150110,Export-import Financing,i81501
iptpl,Peer-to-peer Lending Services,i81501
i8150104,Sales Financing,i81501
isynloan,Syndicated Loans,i81501
iplastic,Electronic Payment Systems,ibnk
i8150107,Debit Cards,iplastic
impay,Mobile Payment Systems,iplastic
i8150109,Smart Cards,iplastic
imtcurr,Money Transfer/Currency Exchange Services,ibnk
ivicu,Virtual Currencies/Cryptocurrencies,ibnk
i82,Insurance,ifinal
i82001,Full-line Insurance,i82
i832,Insurance Brokering,i82
islins,Islamic Insurance,i82
i82002,Life Insurance,i82
iannui,Annuities,i82002
i82003,Non-life Insurance,i82
iguins,Guarantee Insurance,i82003
i8200301,Health/Medical Insurance,i82003
igovspon,Government Sponsored Health Insurance,i8200301
imedaid,Medicaid,igovspon
imedicar,Medicare,igovspon
iprivhea,Private Health Insurance,i8200301
ihmo,Health Maintenance Organizations,iprivhea
ilongtc,Long-term Care Insurance,iprivhea
imoins,Mortgage Insurance,i82003
i8200302,Professional Indemnity Insurance,i82003
icaslty,Property/Casualty Insurance,i82003
iagins,Agriculture Insurance,icaslty
i8200304,Buildings/Contents Insurance,icaslty
icatins,Catastrophe Insurance,icaslty
iclins,Corporate Liability Insurance,icaslty
ifains,Fine Art Insurance,icaslty
i8200316,Vehicle Insurance,icaslty
i8200306,Title Insurance,i82003
itci,Trade Credit Insurance,i82003
itfins,Transport/Freight Insurance,i82003
i8200315,Aviation Insurance,itfins
i8200314,Marine Insurance,itfins
irlrins,Railroad Insurance,itfins
ispains,Space Insurance,itfins
itvlins,Travel Insurance,i82003
i8200303,Unemployment/Disability Insurance,i82003
ipetin,Pet Insurance,i82
i8200318,Reinsurance,i82
iinv,Investing/Securities,ifinal
i831,Financial Investments,iinv
ialgo,Algorithmic/Quantitative Trading,i831
i83104,Commodity Contracts Brokering,i831
i83103,Commodity Contracts Dealing,i831
i83108,Investment Advice,i831
iirese,Investment Research Services,i831
imnacc,Managed Accounts,i831
i83105,Online Brokers/After Hours Trading,i831
i83107,Portfolio/Fund/Asset Management,i831
icusto,Post Trade Services,i831
i83106,Securities/Commodity Exchange Activities,i831
i83102,Security Brokering/Dealing,i831
i81502,Trusts/Funds/Financial Vehicles,iinv
ialtinv,Alternative Investments,i81502
ihedge,Hedge Funds,ialtinv
i8150203,Private Equity,ialtinv
iventure,Venture Capital,i8150203
iresinv,Sustainable Investment,ialtinv
i8150206,Closed-end Funds/Investment Trusts,i81502
ibusdev,Business Development Companies/Venture Capital Trusts,i8150206
i815020602,Real Estate Investment Trusts,i8150206
idivreit,Diversified REITs,i815020602
ihcreit,Healthcare REITs,i815020602
ihotreit,Hotel/Lodging REITs,i815020602
iindreit,Industrial/Office REITs,i815020602
imorreit,Mortgage REITs,i815020602
iredreit,Residential REITs,i815020602
iretreit,Retail REITs,i815020602
ispereit,Specialty REITs,i815020602
icoldebt,Collateralized Debt Obligation,i81502
iextrfu,Exchange Traded Funds,i81502
i8150216,Individual Savings Accounts (ISAs),i81502
ipension,Pension Funds,i81502
i8150214,Private Pension Funds,ipension
ippf,Public Pension Funds,ipension
isover,Sovereign Wealth Fund,i81502
i8150211,Unit Trusts/Mutual Funds,i81502
i8395416,Rating Agencies,ifinal
i951,Health Care/Life Sciences,indroot
i2569,Biotechnology,i951
ibioinf,Bioinformatics,i2569
ibiother,Biological Therapy,i2569
ibioph,Biopharmaceuticals,i2569
iclone,Cloning,i2569
iddkits,Drug Discovery Kits,i2569
igenom,Genomics,i2569
iphhp,Healthcare Provision,i951
ialtmed,Alternative Health Practitioners,iphhp
ichinese,Traditional Chinese Medicine,ialtmed
i95102,Dental Care,iphhp
i95101,Doctors/Physicians,iphhp
iphdon,Donor Clinics/Services,iphhp
iemer,Emergency Treatment/Care,iphhp
i95106,Home Health Care Services,iphhp
ihospice,Hospice Care,iphhp
i95107,Hospital Care,iphhp
imental,Mental Health Care,iphhp
i95104,Outpatient Care,iphhp
iphsy,Physiotherapists,iphhp
iphplast,Plastic/Cosmetic Surgeons/Clinics,iphhp
i95108,Residential Care,iphhp
i95111,Veterinary Services,iphhp
iphhss,Healthcare Support Services,i951
iphhes,Health Education/Information Services,iphhss
iphlab,Medical/Clinical/Diagnostic Services,iphhss
i95105,Medical Laboratory Services,iphlab
iphxray,Screening Clinics/Services,iphlab
iphmbn,Pharmacy Benefit Management,iphhss
i372,Medical Equipment/Supplies,i951
iddtech,Drug Delivery Systems,i372
iphmed,Medical Devices/Apparatus,i372
identim,Dental Equipment/Implants,iphmed
itheradv,Diagnostic/Therapeutic Devices,iphmed
ieye,Eyewear/Ocular Implants,itheradv
icntls,Contact Lenses,ieye
ispecs,Eyeglasses/Spectacles,ieye
idiagn,Medical Diagnostic Equipment/Supplies,itheradv
iphpro,Orthopedic/Prosthetic Implants/Devices,itheradv
isurgd,Surgical Devices,iphmed
iphmm,Medical/Surgical Materials,i372
i257,Pharmaceuticals,i951
iherbs,Botanical/Homeopathic Drugs,i257
iphddd,Drug Discovery/Development,i257
igeneri,Generic/Biosimilar Drugs,i257
i2578,Over-the-counter Drugs,i257
ipresc,Prescription Drugs,i257
idrugty,Specialized Drugs/Medications,i257
i25782,Analgesics,idrugty
i2571,Antibiotics,idrugty
i2577,Anti-depressants,idrugty
iphvir,Antivirals,idrugty
i2573,Cancer Drugs,idrugty
i2576,Cardiovascular Drugs,idrugty
i25781,Cold Cures,idrugty
i2574,Dermatological Treatments,idrugty
i25784,Diet/Nutritional Drugs,idrugty
ihormp,Hormone Products,idrugty
iinsulin,Diabetes Drugs,ihormp
i2575,Respiratory/Allergy Treatments,idrugty
i2572,Vaccines,idrugty
ivetd,Veterinary Drugs,i257
iindstrls,Industrial Goods,indroot
i246,Abrasive Products,iindstrls
iaer,Aerospace/Defense,iindstrls
i364,Aerospace Products/Parts,iaer
i3640007,Aircraft Cabin Equipment,i364
iairelc,Aircraft Electronics,i364
i3640002,Aircraft Engines/Parts,i364
i3640048,Aircraft Modification,i364
i3640010,Civil Aircraft,i364
i3640029,Helicopters,i364
i3640047,Military Aircraft,i364
i3640045,Satellites,i364
i3640046,Space Vehicles,i364
idef,Defense Equipment/Products,iaer
iammu,Ammunition,idef
i3289,Ammunition (except Small Arms),iammu
i3288,Small Arms Ammunition,iammu
i329,Firearms,idef
i3640026,Guided Missiles,idef
i365,Military Armored Vehicles/Parts,idef
i36104,Naval Ships,idef
isimu,Simulators,idef
i36105,Submarines/Submersibles,idef
iuav,Drones,iindstrls
i247,Glass/Glass Products,iindstrls
i24794,Glass Fiber,i247
indcera,Industrial Ceramics,iindstrls
iindele,Industrial Electronics,iindstrls
i3432,Batteries,iindele
i342,Electrical Components/Equipment,iindele
ietrack,Electronic Navigation/Tracking Systems,iindele
i3443,Air/Nautical Navigational Instruments,ietrack
irfid,Radio Frequency Identification Equipment,ietrack
igps,Satellite Navigation Systems,ietrack
i3442,Environmental Control Systems,iindele
i3435,Industrial Electrical Equipment,iindele
i371,Measuring/Precision Instruments,iindele
i3444,Passive Components,iindele
iposs,Point of Sale Systems,iindele
issyst,Security Systems,iindele
i3433,Alarms/Signaling Equipment,issyst
i34531,Semiconductors,iindele
ianlog,Analog Integrated Circuits,i34531
ichip,Chipsets,i34531
iintcir,Integrated Circuits,i34531
ividbd,Audio/Video/Graphics Integrated Circuits,iintcir
iled,LED Technologies,i34531
imicpr,Microprocessors/DSPs,i34531
i32,Machinery,iindstrls
i321,Agricultural Machinery,i32
i3247,Automatic Vending Machines,i32
i3205,Boilers/Tanks/Vessels,i32
i3245,Chemical Industry Machinery,i32
i3283,Compressors/Hydraulic Equipment,i32
i3254,Construction Machinery,i32
i3244,Food Product Machinery,i32
i32755,Glass Working Machinery,i32
i3255,Handling Equipment,i32
i3284,Heating/Cooling/Air Treatment Equipment,i32
i3204,Industrial Plant/Steelwork,i32
i3281,Industrial/Marine Engines,i32
iirrig,Irrigation Systems,i32
i3248,Laundry/Dry Cleaning Machines,i32
i32753,Leatherworking Machinery,i32
i322,Metalworking Machinery,i32
immach,Mining Machinery,i32
i3251,Oil/Gas Field Machinery,i32
i32754,Paper Industry Machinery Manufacturing,i32
i32752,Plastics/Rubber Industry Machinery,i32
i3246,Printing Machinery/Equipment,i32
i3287,Pump Manufacturing,i32
irenewee,Renewable Energy Equipment,i32
i32751,Sawmill/Woodworking Machines,i32
i323,Textile Machinery Manufacturing,i32
itrff,Traffic/Railroad Control Devices,i32
i326,Turbines,i32
iwmach,Waste Treatment/Disposal Machinery,i32
i32851,Weighing Machinery,i32
i31,Metal Products,iindstrls
i316,Coating/Engraving/Heat Treating,i31
i312,Forging/Stamping,i31
i314,Metal Doors/Windows,i31
i315,Screws/Nuts/Bolts,i31
ipap,Packaging,iindstrls
iglassc,Glass Containers/Packaging,ipap
imetcp,Metal Containers/Packaging,ipap
iplascp,Plastic Containers/Packaging,ipap
iwoodcp,Wooden Containers/Packaging,ipap
i483,Plastics Products,iindstrls
i362,Railroad Rolling Stock,iindstrls
i481,Rubber Products,iindstrls
i36101,Shipbuilding,iindstrls
i341,Wires/Cables,iindstrls
i3411,Fiber Optic Cable,i341
ilea,Leisure/Arts/Hospitality,indroot
i98212,Artists/Writers/Performers,ilea
i97105,Film/Video Exhibition,ilea
i97912,Gambling Industries,ilea
i6652,Casino Hotels,i97912
ionlgam,Online Gambling,i97912
ispobet,Sports Betting,i97912
iicafe,Internet/Cyber Cafes,ilea
i8395462,Libraries/Archives,ilea
i66,Lodgings/Restaurants/Bars,ilea
i662,Bars/Public Houses,i66
i665,Lodgings,i66
i6653,Bed and Breakfast Inns,i665
i6654,Campgrounds/RV Parks,i665
i6651,Hotels/Motels,i665
i6655,Rooming/Boarding Houses,i665
i661,Restaurants/Cafes/Fast Food Places,i66
i6613,Caterers/Mobile Food Services,i661
i6611,Full-service Restaurants,i661
i6612,Limited-Service Restaurants/Cafes,i661
i98209,Performing Arts/Sports Promotion,ilea
i979112,Spectator Sports,i98209
i9791121,Sports Teams/Clubs,i98209
i97911,Sporting Facilities/Venues,ilea
i979111,Sports/Recreation Centers,i97911
i97412,Theaters/Entertainment Venues,ilea
i974122,Amusement Parks/Arcades,i97412
i974123,Museums/Historical Sites/Gardens,i97412
i974121,Performing Arts Companies,i97412
itourm,Tourism,ilea
i7505,Online Tourism Reservation Services,itourm
i761,Scenic/Sightseeing Services,itourm
i765,Tour Operators,itourm
i77001,Travel Agencies,itourm
imed,Media/Entertainment,indroot
i971,Audiovisual Production,imed
i97101,Cinema Film Production,i971
i9741112,Television Program Production,i971
i97411,Broadcasting,imed
i9741109,Cable Broadcasting,i97411
i9741105,Radio Broadcasting,i97411
idradio,Digital Radio,i9741105
iiradio,Internet Radio,i9741105
isradio,Satellite Radio,i9741105
i9741110,Satellite Broadcasting,i97411
isattv,Satellite Television,i9741110
i9741102,Television Broadcasting,i97411
i974110202,Commercial Television,i9741102
i974110203,Digital Television,i9741102
i974110205,Interactive Television,i9741102
iiptv,Internet Protocol Television,i9741102
i974110204,Pay-per-view Television,i9741102
i974110201,Public Service Television,i9741102
i8395463,Digital Content Services,imed
i8395419,Freelance Journalism,imed
idistr,Media Content Distribution,imed
i97103,Cinema Film Distribution,idistr
i8395465,Multimedia Services,idistr
i6422,News Dealers/Newsstands,idistr
i8395461,News Syndicates,idistr
imssoft,Streaming Services,idistr
i97104,Video Distribution,idistr
i475,Printing/Publishing,imed
i4756,Printing,i475
i47563,Book Printing,i4756
icmprint,Commercial Printing,i4756
i47562,Digital Printing,icmprint
inewpr,Newspaper/Magazine Printing,i4756
iscprint,Security Printing,i4756
ipubl,Publishing,i475
i4752105,Academic/Scientific/Trade Journals,ipubl
i4753,Book Publishing,ipubl
iebook,e-Book Publishing,i4753
i4754,Database/Directory Publishing,ipubl
i4752,Magazine Publishing,ipubl
i4751,Newspaper Publishing,ipubl
isocial,Social Media Platforms/Tools,imed
isound,Sound/Music Recording/Publishing,imed
isopub,Music/Sound Publishing,isound
i97106,Music/Sound Recording,isound
icre,Real Estate/Construction,indroot
ibuildpr,Building Materials/Products,icre
i244,Asbestos Products,ibuildpr
i242,Cement/Ready-mix Concrete,ibuildpr
i2412,Clay Building Materials,ibuildpr
i243,Concrete Building Products,ibuildpr
i249,Lime/Gypsum Products,ibuildpr
iroof,Roofing Products/Materials,ibuildpr
i245,Stone/Slate Products,ibuildpr
iconst,Construction,icre
i504,Building Completion,iconst
i501,Building Construction,iconst
i5010029,Building Refurbishment,i501
i5010021,Land Development/Subdivision,i501
i5010023,Non-residential Building Construction,i501
i5010024,Hospital Construction,i5010023
