name,reg_fcode,parent,level
Pitcairn Islands,PITCIS,PACISZ,4
Poland,POL,EEURZ,4
Puerto Rico,PURI,CARIBZ,4
Moldova,MOLDV,EEURZ,4
Russia,RUSS,EEURZ,4
Réunion,REUNI,EAFRZ,4
St. Barthélemy,SBRTHY,CARIBZ,4
St. Helena,STHEL,SOUAFRZ,4
St. Kitts & Nevis,SKIT,CARIBZ,4
St. Lucia,SLUC,CARIBZ,4
St. Martin,STMART,CARIBZ,4
St. Pierre & Miquelon,STPM,NAMZ,4
St. Vincent & Grenadines,SVIN,CARIBZ,4
Serbia,YUG,BALKZ,4
Seychelles,SEYCH,EAFRZ,4
St. Maarten,SINTMA,CARIBZ,4
Slovakia,SLVAK,EEURZ,4
South Georgia & South Sandwich Islands,SGSSI,SAMZ,4
Palestine,PALEST,WASIAZ,4
Svalbard & Jan Mayen,SVALB,NORDZ,4
Tokelau,TOKLAU,PACISZ,4
Trinidad & Tobago,TRTO,CARIBZ,4
Turks & Caicos Islands,TCAI,CARIBZ,4
United Kingdom,UK,WEURZ,4
U.S. Virgin Islands,VI,CARIBZ,4
Wallis and Futuna Islands,WALLIS,PACISZ,4
Western Sahara,SPSAH,WAFRZ,4
